BlueCart Name,Units,Status,R365 Commissary Item,Record Id,Category,Inventory Unit Of Measure,Selling Unit Of Measure,Order Guides
Bars - GF - Chocolate Peanut Butter Bar (12),case,Enabled,MI Chocolate Peanut Butter Bar,410,Pastry,Each,Pack (12 CT),PASTRY CATALOG ***2PM CUTOFF FOR NEXT DAY DELIVERY***
Bars - Vegan Chocolate Date (6),case,Enabled,MI Vegan Chocolate Date Bar,420,Pastry,Each,Pack (6 CT),PASTRY CATALOG ***2PM CUTOFF FOR NEXT DAY DELIVERY***
Bars - Vegan Fruit Crumble (6),case,Enabled,MI Vegan Fruit Crumble Bar,407,Pastry,Each,Pack (6 CT),PASTRY CATALOG ***2PM CUTOFF FOR NEXT DAY DELIVERY***
Bowl - CHICKEN PESTO FETTUCCINE BOWL,each,Enabled,"OTF Chicken ""Pesto"" Fettuccine Bowl",576,Grab & Go,Each,Each,OTF CATALOG
Bowl - FETTUCCINE & MEATBALLS BOWL,each,Enabled,OTF Fettuccine & Meatball Bowl,577,Grab & Go,Each,Each,OTF CATALOG
"Breakfast - BACON, EGG & CHEESE BURRITO",each,Enabled,OTF Burrito Breakfast Bacon,33,Grab & Go,Each,Each,"PREP CATALOG (LF) ***11AM CUTOFF FOR NEXT DAY DELIVERY***, OTF CATALOG"
"Breakfast - CHORIZO, EGG & CHEESE BURRITO",each,Enabled,OTF Burrito Breakfast Chorizo,33,Grab & Go,Each,Each,"PREP CATALOG (LF) ***11AM CUTOFF FOR NEXT DAY DELIVERY***, OTF CATALOG"
Breakfast - EGG & CHEESE BURRITO,each,Enabled,OTF Burrito Breakfast Egg & Cheese,33,Grab & Go,Each,Each,"PREP CATALOG (LF) ***11AM CUTOFF FOR NEXT DAY DELIVERY***, OTF CATALOG"
Brownie - OMG Smore's (6),pack,Enabled,OTF OMG Smores Brownie,508,Pastry,Each,Each,OTF CATALOG
Brownie - Righteous (12),pack,Enabled,MI Brownie Righteous,408,Pastry,Each,Pack (12 CT),PASTRY CATALOG ***2PM CUTOFF FOR NEXT DAY DELIVERY***
"Cake - GF Strawberry Cream 3"" (6)",case,Disabled,PASTRY ITEM Cake Strawberry Rectangle,524,Pastry,Each,Each,OTF CATALOG
"Cake - German Chocolate 3"" Cake (6)",case,Enabled,"PASTRY ITEM Cake German Chocolate (3"")",527,Pastry,Each,Each,OTF CATALOG
Cake Jars - Mary's Banana Pudding (6),pack,Enabled,Z - Cake Jars - Mary's Banana Pudding (6),179,Pastry,Pack (6 CT),Pack (6 CT),PASTRY CATALOG ***2PM CUTOFF FOR NEXT DAY DELIVERY***
Cake Jars - Vegan Chocolate Raspberry (6),pack,Enabled,Z - Cake Jars - Vegan Chocolate Raspberry (6),178,Pastry,Pack (6 CT),Pack (6 CT),PASTRY CATALOG ***2PM CUTOFF FOR NEXT DAY DELIVERY***
Cookie - GF Double Chocolate Cookie (6),case,Enabled,MI Double Chocolate Cookie,541,Pastry,Each,Each,OTF CATALOG
Cookie - Oatmeal Raisin (6),pack,Disabled,MI Oatmeal Raisin Cookie,416,Pastry,Each,Pack (6 CT),PASTRY CATALOG ***2PM CUTOFF FOR NEXT DAY DELIVERY***
Cookie - Salted Cho Chip Cookie (6),case,Enabled,MI Salted Chocolate Chip Cookie,412,Pastry,Each,Pack (6 CT),PASTRY CATALOG ***2PM CUTOFF FOR NEXT DAY DELIVERY***
Cookie - Sprinkledoodle Cookie (6),case,Enabled,OTF Cookie Sprinkledoodle,543,Pastry,Each,Each,OTF CATALOG
Cookie - Toffee Butterscotch Cookie (6),case,Disabled,MI Toffee Butterscotch Cookie,415,Pastry,Each,Pack (6 CT),PASTRY CATALOG ***2PM CUTOFF FOR NEXT DAY DELIVERY***
Croissant - Almond (3),case,Enabled,PASTRY Croissant Almond,553,Pastry,Each,Each,OTF CATALOG
Croissant - Butter (3),case,Enabled,OTF Croissant Butter,557,Pastry,Each,Each,OTF CATALOG
Croissant - Cherry Almond Croissant  (3),case,Disabled,OTF Croissant Cherry Almond,554,Pastry,Each,Each,OTF CATALOG
Croissant - Chocolate Almond (3),case,Enabled,PASTRY ITEM Croissant Chocolate Almond,556,Pastry,Each,Each,OTF CATALOG
Croissant - Chocolate Croissant (3),case,Enabled,Z - Croissant - Chocolate Croissant (3),195,Pastry,Pack (3 CT),Pack (3 CT),PASTRY CATALOG ***2PM CUTOFF FOR NEXT DAY DELIVERY***
Cupcakes - Seasonal (6),ea,Disabled,Z - Cupcakes - Seasonal (6),580,Pastry,Pack (6 CT),Pack (6 CT),PASTRY CATALOG ***2PM CUTOFF FOR NEXT DAY DELIVERY***
Danish -  Cherry (3),case,Enabled,PASTRY ITEM Danish Cherry,538,Pastry,Each,Each,OTF CATALOG
Danish - Blueberry (3),case,Enabled,PASTRY ITEM Danish Blueberry,539,Pastry,Each,Each,OTF CATALOG
Dulce de Leche Eclair (6),pack,Enabled,Z - Eclaire Dulce de Leche,122,Pastry,Pack (6 CT),Pack (6 CT),PASTRY CATALOG ***2PM CUTOFF FOR NEXT DAY DELIVERY***
Energy Bite - CHOCOLATE & PEANUT BUTTER (25),pack,Enabled,OTF Energy Balls Chocolate & Peanut Butter,455,Pastry,Each,Pack (25 CT),
Flatbread - Italian (12),case,Enabled,OTF Flatbread Italian,29,Grab & Go,Each,Pack (12 CT),PREP CATALOG (LF) ***11AM CUTOFF FOR NEXT DAY DELIVERY***
GNG - BLUEBERRY MUFFIN,each,Enabled,OTF Blueberry Muffin,507,Pastry,Each,Each,OTF CATALOG
GNG - DOUBLE CHOCOLATE COOKIE,each,Enabled,OTF Cookie Double Chocolate,414,Pastry,Each,Pack (6 CT),PASTRY CATALOG ***2PM CUTOFF FOR NEXT DAY DELIVERY***
GNG - LEMON POPPYSEED BREAD,each,Enabled,OTF Lemon Poppyseed Bread,419,Pastry,Each,Loaf,PASTRY CATALOG ***2PM CUTOFF FOR NEXT DAY DELIVERY***
GNG - OATMEAL CREAM PIE,each,Enabled,OTF Oatmeal Cream Pie,547,Pastry,Each,Each,OTF CATALOG
GNG Salted Chocolate Chip Cookie,1,Enabled,OTF Cookie Chocolate Chip,412,Pastry,Each,Pack (6 CT),PASTRY CATALOG ***2PM CUTOFF FOR NEXT DAY DELIVERY***
Juice - Antioxidants Wellness Shot (15),pack,Enabled,BTLD JUICE Antioxidants Wellness Shot (Bottle),305,Bottled Juice,Bottle (2 Oz-fl),Case - 15/Bottle (2 Oz-fl),"PREP CATALOG ***11AM CUTOFF FOR NEXT DAY DELIVERY***, PREP CATALOG (LF) ***11AM CUTOFF FOR NEXT DAY DELIVERY***, OTF CATALOG"
Juice - Inflammation Wellness Shot (15),pack,Enabled,BTLD JUICE Inflammation Wellness Shot (Bottle),300,Bottled Juice,Bottle (2 Oz-fl),Case - 15/Bottle (2 Oz-fl),"PREP CATALOG ***11AM CUTOFF FOR NEXT DAY DELIVERY***, PREP CATALOG (LF) ***11AM CUTOFF FOR NEXT DAY DELIVERY***, OTF CATALOG"
Loaf Bread - GF Zucchini,loaf,Enabled,MI Bread Zucchini,552,Pastry,Each,Each,OTF CATALOG
Loaf Bread - Lemon Poppyseed,loaf,Enabled,MI Lemon Poppyseed Bread,550,Pastry,Each,Each,OTF CATALOG
Loaf Bread - Pumpkin,loaf,Enabled,MI Pumpkin Bread,549,Pastry,Each,Each,OTF CATALOG
