SKU,Name,Units,Price,Description,Status,Sub-units of pack,Qty per pack,Sub-unit price,Is price by weight,Weight unit,Price per weight unit,Typical weight,Unit of typical weight,Parcel Length,Parcel Width,Parcel Height,Distance Unit,Internal product note,Barcode,Major Code,Taxable_x,Expires,Inventory,Commissary Item,Record Id,Item Type,ID,Available,Category,Inventory Unit Of Measure,Selling Unit Of Measure,Order Guides,Cost,Markup,Selling Price,Source Item,Sales Account,Taxable_y
PASTRY2003,Bars - GF - Chocolate Peanut Butter Bar (12),case,24.91,,Enabled,,,,FALSE,lb,,,lb,,,,in,,,,,,,MI Chocolate Peanut Butter Bar,410,Recipe,,TRUE,Pastry,Each,Pack (12 CT),PASTRY CATALOG ***2PM CUTOFF FOR NEXT DAY DELIVERY***,11.4064,50,17.11,MI Chocolate Peanut Butter Bar,4108 - Bakeshop Pastry Sales,FALSE
PASTRY2007,Bars - Vegan Chocolate Date (6),case,18,,Enabled,,,,FALSE,lb,,,lb,,,,in,,,,,,,MI Vegan Chocolate Date Bar,420,Recipe,,TRUE,Pastry,Each,Pack (6 CT),PASTRY CATALOG ***2PM CUTOFF FOR NEXT DAY DELIVERY***,14.8671,50,22.3,MI Vegan Chocolate Date Bar,4108 - Bakeshop Pastry Sales,FALSE
PASTRY2008,Bars - Vegan Fruit Crumble (6),case,18,,Enabled,,,,FALSE,lb,,,lb,,,,in,,,,,,,MI Vegan Fruit Crumble Bar,407,Recipe,,TRUE,Pastry,Each,Pack (6 CT),PASTRY CATALOG ***2PM CUTOFF FOR NEXT DAY DELIVERY***,8.2573,50,12.39,MI Vegan Fruit Crumble Bar,4108 - Bakeshop Pastry Sales,FALSE
OTF843,Bowl - CHICKEN PESTO FETTUCCINE BOWL,each,7.25,"Roasted chicken breast, our nut free “pesto” and fettuccine topped with mozzarella and parmigiano-reggiano, spinach and roasted tomatoes",Enabled,,,,FALSE,lb,,,lb,,,,in,,8.50007E+11,,N,,,"OTF Chicken ""Pesto"" Fettuccine Bowl",576,Recipe,,TRUE,Grab & Go,Each,Each,OTF CATALOG,3.3972,0,3.4,"OTF Chicken ""Pesto"" Fettuccine Bowl",4104 - Grab & Go Food Sales,FALSE
OTF842,Bowl - FETTUCCINE & MEATBALLS BOWL,each,6.5,"Beef meatballs, marinara and fettuccine topped with provolone and parmigiano-reggiano",Enabled,,,,FALSE,lb,,,lb,,,,in,,85007392543,,N,,,OTF Fettuccine & Meatball Bowl,577,Recipe,,TRUE,Grab & Go,Each,Each,OTF CATALOG,2.3259,0,2.33,OTF Fettuccine & Meatball Bowl,4104 - Grab & Go Food Sales,FALSE
OTF854,"Breakfast - BACON, EGG & CHEESE BURRITO",each,3.95,"Bacon, scrambled eggs, cheddar cheese, roast potatoes, and green chili sauce rolled in a white tortilla",Enabled,,,,FALSE,lb,,,lb,,,,in,,8.50007E+11,,N,,,OTF Burrito Breakfast Egg & Cheese,33,Recipe,,TRUE,Grab & Go,Each,Each,"PREP CATALOG (LF) ***11AM CUTOFF FOR NEXT DAY DELIVERY***, OTF CATALOG",1.8593,50,2.79,OTF Burrito Breakfast Egg & Cheese,4106 - Comm Prepped Food Sales,FALSE
OTF855,"Breakfast - CHORIZO, EGG & CHEESE BURRITO",each,3.95,"Chorizo, scrambled eggs, cheddar cheese, roast potatoes, and green chili sauce rolled in a white tortilla",Enabled,,,,FALSE,lb,,,lb,,,,in,,8.50007E+11,,N,,,OTF Burrito Breakfast Egg & Cheese,33,Recipe,,TRUE,Grab & Go,Each,Each,"PREP CATALOG (LF) ***11AM CUTOFF FOR NEXT DAY DELIVERY***, OTF CATALOG",1.8593,50,2.79,OTF Burrito Breakfast Egg & Cheese,4106 - Comm Prepped Food Sales,FALSE
OTF853,Breakfast - EGG & CHEESE BURRITO,each,3.75,"Scrambled eggs, cheddar cheese, roast potatoes, and green chili sauce rolled in white tortilla",Enabled,,,,FALSE,lb,,,lb,,,,in,,8.50007E+11,,N,,,OTF Burrito Breakfast Egg & Cheese,33,Recipe,,TRUE,Grab & Go,Each,Each,"PREP CATALOG (LF) ***11AM CUTOFF FOR NEXT DAY DELIVERY***, OTF CATALOG",1.8593,50,2.79,OTF Burrito Breakfast Egg & Cheese,4106 - Comm Prepped Food Sales,FALSE
PASTRY2031,Brownie - OMG Smore's (6),pack,16.5,,Enabled,,,,FALSE,lb,,,lb,,,,in,,,,,,,OTF OMG Smores Brownie,508,Recipe,,TRUE,Pastry,Each,Each,OTF CATALOG,2.4148,50,3.62,OTF OMG Smores Brownie,4108 - Bakeshop Pastry Sales,FALSE
PASTRY2030,Brownie - Righteous (12),pack,27,,Enabled,,,,FALSE,lb,,,lb,,,,in,,,,,,,MI Brownie Righteous,408,Recipe,,TRUE,Pastry,Each,Pack (12 CT),PASTRY CATALOG ***2PM CUTOFF FOR NEXT DAY DELIVERY***,10.6884,50,16.03,MI Brownie Righteous,4108 - Bakeshop Pastry Sales,FALSE
PASTRY1013,"Cake - GF Strawberry Cream 3"" (6)",case,23,,Disabled,,,,FALSE,lb,,,lb,,,,in,,,,N,,,OTF Strawberry Cream Cake,524,Recipe,,TRUE,Pastry,Each,Each,OTF CATALOG,2.3958,50,3.59,OTF Strawberry Cream Cake,4108 - Bakeshop Pastry Sales,FALSE
PASTRY1009,"Cake - German Chocolate 3"" Cake (6)",case,31.05,,Enabled,,,,FALSE,lb,,,lb,,,,in,,,,,,,"OTF German Chocolate Cake (3"")",527,Recipe,,TRUE,Pastry,Each,Each,OTF CATALOG,2.5662,50,3.85,"OTF German Chocolate Cake (3"")",4108 - Bakeshop Pastry Sales,FALSE
PASTRY1046,Cake Jars - Mary's Banana Pudding (6),pack,24,,Enabled,,,,FALSE,lb,,,lb,,,,in,,,,,,,Z - Cake Jars - Mary's Banana Pudding (6),179,Purchase,,TRUE,Pastry,Pack (6 CT),Pack (6 CT),PASTRY CATALOG ***2PM CUTOFF FOR NEXT DAY DELIVERY***,24,0,24,Z - Cake Jars - Mary's Banana Pudding (6),4108 - Bakeshop Pastry Sales,FALSE
PASTRY1045,Cake Jars - Vegan Chocolate Raspberry (6),pack,24,,Enabled,,,,FALSE,lb,,,lb,,,,in,,,,,,,Z - Cake Jars - Vegan Chocolate Raspberry (6),178,Purchase,,TRUE,Pastry,Pack (6 CT),Pack (6 CT),PASTRY CATALOG ***2PM CUTOFF FOR NEXT DAY DELIVERY***,24,0,24,Z - Cake Jars - Vegan Chocolate Raspberry (6),4108 - Bakeshop Pastry Sales,FALSE
PASTRY3003,Cookie - GF Double Chocolate Cookie (6),case,8.1,,Enabled,,,,FALSE,lb,,,lb,,,,in,,,,N,,,OTF Cookie Double Chocolate,541,Recipe,,TRUE,Pastry,Each,Each,OTF CATALOG,1.2814,50,1.92,OTF Cookie Double Chocolate,4108 - Bakeshop Pastry Sales,FALSE
PASTRY3009,Cookie - Oatmeal Raisin (6),pack,7.5,,Disabled,,,,FALSE,lb,,,lb,,,,in,,,,N,,,MI Oatmeal Raisin Cookie,416,Recipe,,TRUE,Pastry,Each,Pack (6 CT),PASTRY CATALOG ***2PM CUTOFF FOR NEXT DAY DELIVERY***,4.3464,50,6.52,MI Oatmeal Raisin Cookie,4108 - Bakeshop Pastry Sales,FALSE
