Record Id,Commissary Item,Item Type,ID,Available,Category,Inventory Unit Of Measure,Selling Unit Of Measure,Order Guides,Cost,Markup,Selling Price,Source Item,Sales Account,Taxable
505,BREAD O&F Rosemary Garlic Loaf,Recipe,,TRUE,Prepped Food,Loaf,Loaf,PASTRY CATALOG ***2PM CUTOFF FOR NEXT DAY DELIVERY***,2.1116,50,3.17,BREAD O&F Rosemary Garlic Loaf,4100 - Food Sales,FALSE
305,BTLD JUICE Antioxidants Wellness Shot (Bottle),Purchase,,TRUE,Bottled Juice,Bottle (2 Oz-fl),Case - 15/Bottle (2 Oz-fl),"PREP CATALOG ***11AM CUTOFF FOR NEXT DAY DELIVERY***, PREP CATALOG (LF) ***11AM CUTOFF FOR NEXT DAY DELIVERY***, OTF CATALOG",33.75,42.75,42.75,BTLD JUICE Antioxidants Wellness Shot (Bottle),4134 - Bottled Juice Sales,FALSE
304,BTLD JUICE Classic Green (Bottle),Purchase,,TRUE,Bottled Juice,Bottle (12 Oz-fl),Case - 9/Bottle (12 Oz-fl),"PREP CATALOG ***11AM CUTOFF FOR NEXT DAY DELIVERY***, PREP CATALOG (LF) ***11AM CUTOFF FOR NEXT DAY DELIVERY***, OTF CATALOG",31.05,36,36,BTLD JUICE Classic Green (Bottle),4134 - Bottled Juice Sales,FALSE
303,BTLD JUICE Clean Carbon (Bottle),Purchase,,TRUE,Bottled Juice,Bottle (12 Oz-fl),Case - 9/Bottle (12 Oz-fl),"PREP CATALOG ***11AM CUTOFF FOR NEXT DAY DELIVERY***, PREP CATALOG (LF) ***11AM CUTOFF FOR NEXT DAY DELIVERY***, OTF CATALOG",31.05,36,36,BTLD JUICE Clean Carbon (Bottle),4134 - Bottled Juice Sales,FALSE
302,BTLD JUICE Deeply Rooted (Bottle),Purchase,,TRUE,Bottled Juice,Bottle (12 Oz-fl),Case - 9/Bottle (12 Oz-fl),"PREP CATALOG ***11AM CUTOFF FOR NEXT DAY DELIVERY***, PREP CATALOG (LF) ***11AM CUTOFF FOR NEXT DAY DELIVERY***, OTF CATALOG",31.05,36,36,BTLD JUICE Deeply Rooted (Bottle),4134 - Bottled Juice Sales,FALSE
301,BTLD JUICE Immunity Boost (Bottle),Purchase,,TRUE,Bottled Juice,Bottle (12 Oz-fl),Case - 9/Bottle (12 Oz-fl),"PREP CATALOG ***11AM CUTOFF FOR NEXT DAY DELIVERY***, PREP CATALOG (LF) ***11AM CUTOFF FOR NEXT DAY DELIVERY***, OTF CATALOG",31.05,36,36,BTLD JUICE Immunity Boost (Bottle),4134 - Bottled Juice Sales,FALSE
300,BTLD JUICE Inflammation Wellness Shot (Bottle),Purchase,,TRUE,Bottled Juice,Bottle (2 Oz-fl),Case - 15/Bottle (2 Oz-fl),"PREP CATALOG ***11AM CUTOFF FOR NEXT DAY DELIVERY***, PREP CATALOG (LF) ***11AM CUTOFF FOR NEXT DAY DELIVERY***, OTF CATALOG",33.75,42.75,42.75,BTLD JUICE Inflammation Wellness Shot (Bottle),4134 - Bottled Juice Sales,FALSE
299,BTLD JUICE Just Orange (Bottle),Purchase,,TRUE,Bottled Juice,Bottle (12 Oz-fl),Case - 9/Bottle (12 Oz-fl),"PREP CATALOG ***11AM CUTOFF FOR NEXT DAY DELIVERY***, PREP CATALOG (LF) ***11AM CUTOFF FOR NEXT DAY DELIVERY***, OTF CATALOG",31.05,33.75,33.75,BTLD JUICE Just Orange (Bottle),4134 - Bottled Juice Sales,FALSE
53,DELIVERY CHARGE Pastry,Purchase,,TRUE,Pastry,Each,Each,"PASTRY CATALOG ***2PM CUTOFF FOR NEXT DAY DELIVERY***, MNKY ITEMS ***ADMIN USE ONLY***",0,10,10,DELIVERY CHARGE Pastry,4108 - Bakeshop Pastry Sales,FALSE
498,HOLIDAY Buttermilk Rolls,Recipe,,TRUE,MNKY,Each,Each,MNKY ITEMS ***ADMIN USE ONLY***,0,3,3,HOLIDAY Buttermilk Rolls,4106 - Comm Prepped Food Sales,FALSE
503,HOLIDAY Garlic Mashed Potatoes,Recipe,,TRUE,MNKY,Quart,Quart,MNKY ITEMS ***ADMIN USE ONLY***,0,3,3,HOLIDAY Garlic Mashed Potatoes,4106 - Comm Prepped Food Sales,FALSE
499,HOLIDAY Green Chili Cornbread,Recipe,,TRUE,MNKY,Quart,Quart,MNKY ITEMS ***ADMIN USE ONLY***,0,3,3,HOLIDAY Green Chili Cornbread,4106 - Comm Prepped Food Sales,FALSE
494,HOLIDAY Honey Butter,Recipe,,TRUE,MNKY,Cup,Cup,MNKY ITEMS ***ADMIN USE ONLY***,0,2,2,HOLIDAY Honey Butter,4106 - Comm Prepped Food Sales,FALSE
574,HOLIDAY Hot Chocolate Bomb,Recipe,,TRUE,,Each,Each,,0,0,0,HOLIDAY Hot Chocolate Bomb,4130 - N/A Bev Sales,FALSE
497,HOLIDAY Mushroom Gravy,Recipe,,TRUE,MNKY,Pint,Pint,MNKY ITEMS ***ADMIN USE ONLY***,0,3,3,HOLIDAY Mushroom Gravy,4106 - Comm Prepped Food Sales,FALSE
496,HOLIDAY Orange Cranberry Chutney,Recipe,,TRUE,MNKY,Pint,Pint,MNKY ITEMS ***ADMIN USE ONLY***,0,3,3,HOLIDAY Orange Cranberry Chutney,4106 - Comm Prepped Food Sales,FALSE
501,HOLIDAY Roasted Vegetables,Recipe,,TRUE,MNKY,Quart,Quart,MNKY ITEMS ***ADMIN USE ONLY***,0,2,2,HOLIDAY Roasted Vegetables,4106 - Comm Prepped Food Sales,FALSE
500,HOLIDAY Sweet Potatoes,Recipe,,TRUE,MNKY,Quart,Quart,MNKY ITEMS ***ADMIN USE ONLY***,0,4,4,HOLIDAY Sweet Potatoes,4106 - Comm Prepped Food Sales,FALSE
495,HOLIDAY Truffle Butter,Recipe,,TRUE,MNKY,Cup,Cup,MNKY ITEMS ***ADMIN USE ONLY***,0,2,2,HOLIDAY Truffle Butter,4106 - Comm Prepped Food Sales,FALSE
502,HOLIDAY Truffled Mac & Cheese,Recipe,,TRUE,MNKY,Quart,Quart,MNKY ITEMS ***ADMIN USE ONLY***,0,4,4,HOLIDAY Truffled Mac & Cheese,4106 - Comm Prepped Food Sales,FALSE
